"admit","gre","gpa","rank"
0,400,3.36,2
0,600,3.32,2
0,580,2.88,2
1,660,3.47,3
0,520,3.1,4
1,580,3.12,3
1,660,3.95,2
0,460,3.58,2
1,460,3.64,1
0,480,3.4,2
1,620,3.37,1
0,680,3.7,2
0,520,3.51,2
0,580,3.69,1
0,800,3.75,2
0,500,3.53,4
0,600,3.13,2
0,420,3.41,4
0,800,3.9,2
1,660,3.7,4
1,800,3.53,1
0,580,3.4,3
1,520,2.68,3
0,540,3.33,3
0,560,2.95,2
1,520,2.68,3
1,620,3.61,1
1,660,4,2
1,740,2.97,2
1,740,3.86,2
0,720,3.45,4
1,520,3.19,3
0,460,3.58,2
0,360,3.27,3
1,600,3.56,2
1,660,3.67,3
0,360,2.56,3
0,760,3.35,3
0,740,4,3
0,540,3.2,1
0,640,3.52,4
0,520,2.93,4
0,480,3.39,4
0,460,3.44,2
0,580,3.4,4
0,740,3.34,4
0,680,3.99,3
0,300,3.01,3
1,480,3.02,1
0,500,2.93,4
0,580,3.02,2
0,480,4,2
0,640,3.12,3
0,540,3.38,4
0,620,3.33,3
0,560,3.61,3
0,560,3.32,4
0,340,3.15,3
1,800,4,3
0,740,3.62,4
0,580,3.3,2
0,540,3.19,2
0,500,3.31,3
0,740,4,3
0,680,3.34,2
0,580,3.25,1
0,440,3.15,2
0,700,4,1
0,560,3.32,4
1,440,3.39,2
1,800,4,2
1,780,4,2
0,640,4,3
0,700,4,3
0,420,2.96,1
1,720,3.5,3
0,600,3.28,3
0,420,2.26,4
1,520,3.19,3
0,420,2.67,3
0,520,3.1,4
1,460,3.45,3
0,500,2.98,3
0,600,3.89,3
0,700,3.08,2
0,600,3.4,3
0,800,3.15,4
0,740,3.74,4
0,600,3.89,3
0,580,4,3
0,620,3.94,4
1,460,3.64,1
0,500,2.86,4
1,600,3.47,2
1,540,3.49,2
0,540,3.2,1
0,640,3.67,3
0,600,3.48,2
0,480,2.55,1
0,580,3.5,2
1,480,3.02,1
1,660,3.44,2
1,480,2.91,1
1,640,3.63,1
0,620,3.58,2
0,680,3.31,2
1,580,3.12,3
0,560,2.71,3
0,660,3.59,3
0,620,3.05,2
1,560,3.36,1
1,600,3.38,3
0,500,2.98,3
0,800,3.9,2
1,460,3.64,1
1,560,2.98,1
0,560,2.71,3
0,520,2.9,3
0,400,3.65,2
1,620,3.61,1
0,520,3.12,2
0,480,3.57,2
1,600,3.54,1
0,640,3.51,2
0,300,3.01,3
1,780,3.22,2
1,620,3.23,3
0,700,3.52,2
0,500,3.03,3
1,800,4,1
0,600,3.35,2
0,780,3.87,4
1,680,3.67,2
1,520,3.65,4
1,620,3.45,2
0,700,3.72,2
1,600,3.58,1
0,660,3.59,3
0,440,3.13,4
0,520,2.73,2
0,680,3.99,3
0,600,3.59,2
1,620,3.95,3
1,540,3.55,4
0,520,2.85,3
0,640,3.3,2
0,540,3.28,1
0,700,4,2
0,460,2.87,2
0,620,3.69,3
0,360,2.56,3
0,520,2.98,2
0,540,3.13,2
1,480,2.67,2
1,800,4,2
0,800,3.89,2
0,540,3.13,2
0,580,3.69,1
0,640,3.93,2
0,560,3.04,3
1,620,3.37,2
1,340,3,2
0,620,3.63,3
1,540,3.39,3
0,460,3.58,2
0,460,2.98,1
0,580,2.93,2
0,680,3.48,3
1,460,3.99,3
1,300,2.84,2
1,600,3.64,3
0,800,3.6,2
0,620,3.21,4
1,740,2.97,2
0,380,3.34,3
0,640,3.86,3
1,780,3.22,2
0,500,2.97,4
1,660,3.6,3
0,560,3.36,3
1,700,3.56,2
0,500,2.97,4
1,800,3.22,1
0,660,3.67,2
1,680,3,4
0,700,3.65,2
0,500,3.95,4
1,640,2.94,2
0,620,3.21,4
0,420,2.26,4
1,700,3.56,2
0,620,3.4,2
0,640,2.79,2
1,740,2.97,2
0,640,4,3
0,580,3.69,1
0,800,3.97,1
1,440,3.45,2
0,600,3.13,2
1,760,3.35,2
0,740,3.34,4
1,800,3.74,1
1,800,4,3
1,680,2.96,3
0,640,3.17,2
0,500,3.23,4
0,580,4,3
0,540,3.78,4
0,500,3.03,3
1,660,3.95,2
1,640,3.63,1
0,580,3.02,2
0,460,2.93,3
1,340,3,2
0,560,3.43,3
0,620,4,2
0,680,3.9,1
0,340,3.15,3
0,580,3.29,4
0,540,3.2,1
0,620,3.78,3
1,700,3.56,1
1,520,3.74,4
0,440,2.48,4
0,740,3.37,4
0,740,3.31,1
0,580,3.57,3
0,560,3.16,1
0,600,3.28,3
0,640,3.81,2
0,340,3.15,3
0,700,3.27,2
1,660,3.47,3
0,800,2.78,2
0,580,3.46,4
0,580,4,3
0,300,3.01,3
1,700,3.56,2
1,520,3.65,4
0,660,3.94,2
0,600,3.48,2
1,500,3.13,2
1,560,3.48,2
0,700,3.72,2
1,540,3.49,2
1,660,3.44,2
0,700,3.83,2
1,680,2.42,1
1,520,3.19,3
1,620,3.61,1
0,620,3.07,2
0,440,2.48,4
0,560,3.36,3
0,700,3.92,2
1,620,3.95,3
0,600,3.62,3
0,620,2.85,2
0,680,3.48,3
0,680,3.11,2
0,660,3.34,3
1,560,3.48,2
0,400,2.93,3
0,580,4,1
0,580,3.46,3
0,580,3.4,2
1,520,3.81,1
0,440,3.22,1
0,560,2.42,2
0,660,3.33,2
0,580,3.51,2
0,640,3.52,4
1,620,3.95,3
0,800,3.15,4
0,420,2.96,1
0,500,2.98,3
0,620,3.22,2
0,560,3.49,4
0,660,3.07,3
0,700,3.92,2
0,800,3.6,2
0,300,3.01,3
0,400,3.35,3
0,580,3.51,2
0,700,2.9,4
0,500,3.17,3
0,520,2.7,3
1,400,3.23,4
1,540,3.81,1
0,540,2.7,2
0,640,3.12,3
0,700,2.94,2
0,720,3.94,3
1,520,4,1
1,540,3.49,2
1,640,3.63,1
0,420,2.67,3
0,680,3.34,2
0,500,2.86,4
0,620,3.69,3
0,600,2.82,4
0,560,3.49,4
1,800,3.22,1
0,680,3.48,3
0,500,3.95,4
0,600,3.32,2
0,800,3.31,3
1,600,3.56,2
0,580,3.02,2
0,720,3.88,3
0,700,3.45,3
0,580,3.46,4
0,360,3.27,3
0,580,4,2
0,800,3.15,4
0,560,3.59,2
0,600,3.22,1
1,580,3.2,2
0,580,3.02,2
1,780,3.63,4
0,500,3.57,3
0,480,3.44,3
0,520,3.51,2
1,480,2.62,2
0,740,4,3
0,520,3.25,3
0,580,3.3,2
0,660,3.59,3
1,480,3.02,1
0,640,3.52,4
0,700,4,1
1,580,2.86,4
0,480,4,2
