sub,Gender,race,ses,sctyp,hsp,locus,concpt,mot,car,rdg,wrtg,math,sci,civ
1,Female,Black,Low,Public,Technical/Vocational,.29,.88,.67,10,33.6,43.7,40.2,39,40.6
2,Male,Black,Low,Public,Standard,-.42,.03,.33,2,46.9,35.9,41.9,36.3,45.6
3,Female,Black,Low,Public,Standard,.71,.03,.67,9,41.6,59.3,41.9,44.4,45.6
4,Female,Black,Medium,Public,Technical/Vocational,.06,.03,0,15,38.9,41.1,32.7,41.7,40.6
5,Female,Black,Medium,Public,Technical/Vocational,.22,-.28,0,1,36.3,48.9,39.5,41.7,45.6
6,Male,Black,Medium,Public,Standard,.46,.03,0,11,49.5,46.3,46.2,41.7,35.6
7,Male,Black,Low,Public,College Prep,.44,-.47,.33,10,62.7,64.5,48,63.4,55.6
8,Female,Black,Low,Public,College Prep,.68,.25,1,9,44.2,51.5,36.9,49.8,55.6
9,Male,Black,Medium,Public,College Prep,.06,.56,.33,9,46.9,41.1,45.3,47.1,55.6
10,Female,Black,Low,Public,College Prep,.05,.15,1,11,44.2,49.5,40.5,39,50.6
11,Female,Black,Low,Public,College Prep,.25,.34,1,9,49.5,61.9,42.9,41.7,50.6
12,Male,Black,Low,Public,Standard,.06,-.59,0,8,44.2,41.1,59.8,44.4,35.6
13,Male,Black,Low,Public,College Prep,-1.1,.03,0,7,46.9,40.4,42.8,45,30.6
14,Female,Black,Medium,Public,Standard,.52,-.59,.67,4,41.6,59.3,38.6,36.3,50.6
15,Male,Black,Medium,Public,Technical/Vocational,-1.28,1.19,1,9,41.6,41.1,45.9,44.4,40.6
16,Female,Black,Low,Public,College Prep,.06,.03,1,10,46.9,41.1,46.2,39.6,40.6
17,Female,Black,High,Public,College Prep,.26,.03,1,10,60.1,64.5,55.7,63.4,60.5
18,Male,Black,Medium,Public,Technical/Vocational,.21,.94,0,12,38.9,48.9,41.8,58.5,45.6
19,Male,Black,Medium,Public,College Prep,.06,.03,1,6,57.4,54.1,58.9,47.1,50.6
20,Male,Black,High,Public,College Prep,.28,.03,1,10,73.3,64.5,68,63.4,70.5
21,Male,Black,Medium,Public,Standard,-.44,-.84,.33,2,46.9,46.3,45.9,37.9,45.6
22,Female,Black,Low,Public,College Prep,-.43,.13,.33,7,38.9,44.3,51.6,43.9,48.1
23,Female,Black,Low,Public,Technical/Vocational,-.22,.32,.33,1,35.2,38.5,39.9,34.7,40.6
24,Female,Black,Low,Public,Technical/Vocational,.73,-1.42,.33,15,38.9,41.1,41,36.3,45.6
25,Male,Black,Medium,Public,Technical/Vocational,.26,.03,.33,11,48.4,48.9,52.2,43.9,50.6
