TARGET,AGE,GENDER,BALANCE,OCCUPATION,HOLDING_PERIOD,ACC_TYPE,LEN_OF_RLTN_IN_MNTH,NO_OF_CREDIT_TXNS,NO_OF_DEBIT_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_LOAN,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CHQ_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN
0,27,M,3383.75,SELF-EMP,30,SA,146,7,3,1,0,0,13100,986657,13100,0,1,1
0,47,M,287489.04,SAL,28,SA,104,8,2,1,0,0,6600,806413,6600,0,1,0
0,40,M,18216.88,SELF-EMP,2,SA,61,10,5,1,2,0,11200,1619210,11200,24660,1,1
0,53,M,71720.48,SAL,13,CA,107,36,14,2,4,0,26100,1573364,13050,15195,1,0
0,36,M,1671622.89,PROF,24,SA,185,20,1,0,0,0,0,808480,0,0,1,0
0,42,F,521685.69,PROF,26,SA,192,5,2,1,0,1,18500,397810,18500,0,1,1
0,30,M,204458.6,PROF,14,SA,177,6,6,1,4,0,6200,786845,6200,2645,0,1
0,53,F,58516.34,SAL,25,CA,99,14,3,0,0,0,0,945160,0,0,1,1
0,42,F,13158.14,SELF-EMP,15,SA,88,18,14,2,1,1,35400,782073,17700,51490,1,1
0,30,M,831150.18,PROF,13,SA,111,14,8,1,4,0,18000,920490,18000,8152.5,0,0
0,52,M,13683.16,SELF-EMP,7,SA,160,7,5,1,2,0,11300,1038756,11300,6540,1,1
0,43,M,272607.05,PROF,24,CA,183,4,4,1,0,1,8900,543014,8900,0,1,0
0,53,M,124500.74,SENP,20,SA,142,5,4,0,3,1,0,288450,0,6096.67,1,1
0,43,F,66013.8,SENP,3,SA,200,4,3,0,1,1,0,660120,0,0,1,1
1,30,M,25481.82,SELF-EMP,9,SA,74,1,1,0,1,0,0,77670,0,77670,1,0
0,46,M,1563443.12,SAL,9,SA,198,14,6,1,2,1,5500,583441,5500,8695,1,1
0,41,F,65208.82,SENP,21,SA,107,6,3,0,0,1,0,883816,0,0,1,0
0,35,M,18939.94,SAL,26,SA,42,5,4,0,0,1,0,1140962,0,0,1,0
0,47,F,1136890.47,SENP,11,SA,128,9,5,1,1,1,2700,1810540,2700,0,1,1
0,32,M,830319.46,PROF,18,SA,200,16,15,2,8,0,44100,1452519,22050,105603.75,1,1
0,36,M,233344.83,SAL,4,SA,30,18,14,2,4,0,11700,1568805,5850,85475,1,0
0,41,M,435841.81,PROF,14,SA,159,16,15,2,4,0,31300,1537459,15650,11587.5,1,1
0,45,M,10762.54,SENP,5,SA,185,12,6,1,2,1,19200,737518,19200,18390,1,1
0,37,M,547116.54,PROF,7,SA,121,8,6,1,4,0,9100,101630,9100,6490,1,0
0,37,F,35350.88,SAL,26,SA,103,5,1,0,0,0,0,621600,0,0,1,0
0,39,M,59282.02,SENP,6,SA,122,6,5,1,1,0,7400,1108616,7400,0,1,0
0,39,F,1743832.48,SENP,18,CA,117,9,9,1,4,0,7900,638203,7900,3800,1,0
0,52,M,1002330.71,SAL,11,CA,213,58,23,3,10,0,62300,1660129,20766.67,86591,1,1
0,38,F,161366.04,PROF,23,SA,214,8,2,0,1,1,0,255850,0,33810,0,0
1,31,O,14411.51,PROF,1,CA,145,17,22,2,8,0,41600,1175578,20800,47312.5,1,1
0,27,F,2532663.66,SENP,13,SA,88,4,3,0,3,0,0,94560,0,31520,1,0
0,45,M,1097597.16,SENP,16,SA,200,8,5,1,2,0,2500,536307,2500,29370,1,1
0,31,M,22259.73,SENP,25,SA,151,4,1,0,0,0,0,254670,0,0,0,0
0,51,M,43917.05,SAL,30,CA,68,51,2,0,0,0,0,839615,0,0,1,0
